,AdaBoost,.ipynb_checkpoints,Bagging,EGAM,ExtraTrees,GradientBoosting,HEAG,HGBM,LGBM,MLP,RFLGBM
1,0.7342134028420079,0.8598755570503658,0.9747750777768436,0.9747750777768436,0.9878499957958464,0.7711679138989321,0.7651559741024132,0.8825779870512066,0.8598755570503658,0.0,0.8598755570503658
2,0.4216345749600605,0.518750525519213,0.7775161859917599,0.7775161859917599,0.8225006306230556,0.4431178003867821,0.4167577566635836,0.5540233750945934,0.518750525519213,4.204153703859413e-05,0.518750525519213
3,0.7064783284987598,0.9113381258670704,0.8655147769790221,0.8655147769790221,0.8484045907428427,0.843233699079329,0.8074998949005759,0.9079749442973052,0.9113381258670704,0.999957960230378,0.9113381258670704
accuracy,0.6207766364438964,0.7633234770666629,0.8726019142644936,0.8726019142644936,0.8862512086772516,0.6858420101178548,0.6631398982609061,0.7815272075001051,0.7633234770666629,0.3333426757661962,0.7633234770666629
macro avg,0.6207754354336094,0.7633214028122164,0.8726020135825419,0.8726020135825419,0.8862517390539147,0.6858398044550146,0.6631378752221909,0.7815254354810351,0.7633214028122164,0.3333333339224722,0.7633214028122164
weighted avg,0.6207766364438964,0.7633234770666629,0.8726019142644936,0.8726019142644936,0.8862512086772516,0.6858420101178548,0.6631398982609061,0.7815272075001051,0.7633234770666629,0.3333426757661962,0.7633234770666629
time,51.054,4.831,424.94,424.94,33.217,347.323,330.87,13.578,4.831,483.777,4.831
