,precision,recall,f1-score,support
1,0.9372625111165009,0.9747750777768435,0.9556508119693348,23786.0
2,0.8507291043746262,0.7775161859917599,0.8124766611751785,23786.0
3,0.8274254481151033,0.8655147769790221,0.8460416281411165,23787.0
accuracy,0.8726019142644936,0.8726019142644936,0.8726019142644936,0.8726019142644936
macro avg,0.8718056878687435,0.8726020135825419,0.8713897004285432,71359.0
weighted avg,0.871805065939628,0.8726019142644936,0.8713893452095479,71359.0
time,424.94,424.94,424.94,424.94
