,precision,recall,f1-score,support
1,0.6283822682786413,0.7342134028420079,0.6771879483500718,23786.0
2,0.5188308329022245,0.4216345749600605,0.46521013080990814,23786.0
3,0.6933613896109254,0.7064783284987598,0.6998584041312677,23787.0
accuracy,0.6207766364438964,0.6207766364438964,0.6207766364438964,0.6207766364438964
macro avg,0.6135248302639303,0.6207754354336094,0.6140854944304158,71359.0
weighted avg,0.613525949065474,0.6207766364438964,0.6140866964218913,71359.0
time,51.054,51.054,51.054,51.054
